城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,全部企业,注销,注销率
七台河市,212.6515,11200,0,1415,87098,2015,3,0.0,0.0
七台河市,216.6414,11675,0,753,86570,2016,6,0.0,0.0
七台河市,228.8392,15441,0,3204,78284,2017,7,0.0,0.0
七台河市,250.3258,17660,1,1526,85621,2018,13,0.0,0.0
七台河市,231.0,18979,1,2815,86265,2019,18,1.0,0.05555555555555555
七台河市,206.0,24112,1,21215,104741,2020,26,0.0,0.0
七台河市,231.0,10824,2,11030,100947,2021,46,4.0,0.08695652173913043
七台河市,269.0,10914,2,7829,106297,2022,70,4.0,0.05714285714285714
七台河市,263.0,22373,2,3851,100919,2023,92,6.0,0.06521739130434782
三亚市,435.8202,19574,0,37164,189276,2015,151,0.0,0.0
三亚市,475.5567,27190,0,41668,199021,2016,199,0.0,0.0
三亚市,529.8048,47514,1,27590,200353,2017,260,0.0,0.0
三亚市,595.5057,61749,4,31157,211224,2018,416,0.0,0.0
三亚市,678.0,58083,4,142459,224140,2019,667,12.0,0.017991004497751123
三亚市,695.0,62271,3,150320,237056,2020,1941,34.0,0.01751674394641937
三亚市,835.0,59116,2,158545,242306,2021,4039,176.0,0.043575142361970784
三亚市,847.0,52067,7,180290,246753,2022,10187,336.0,0.03298321390006872
三亚市,971.0,75696,10,205916,267415,2023,12240,377.0,0.030800653594771243
三明市,1713.0478,41608,0,44556,497170,2015,104,0.0,0.0
三明市,1860.8197,55091,0,44261,514457,2016,147,0.0,0.0
三明市,2102.64,73074,2,46013,569187,2017,178,0.0,0.0
三明市,2353.7162,68925,9,34507,605776,2018,287,18.0,0.0627177700348432
三明市,2602.0,61486,16,32087,642519,2019,398,45.0,0.11306532663316583
三明市,2702.0,69869,16,24511,695659,2020,594,101.0,0.17003367003367004
三明市,2953.0,55892,13,21652,717729,2021,849,100.0,0.11778563015312132
三明市,3110.0,60052,10,20715,784928,2022,1145,91.0,0.0794759825327511
三明市,3007.0,70822,14,19842,769901,2023,1459,128.0,0.08773132282385196
三门峡市,1251.0383,33681,0,18905,351137,2015,22,0.0,0.0
三门峡市,1325.8631,38179,0,20768,369686,2016,30,0.0,0.0
三门峡市,1447.42,46487,1,28723,424189,2017,39,0.0,0.0
三门峡市,1528.1244,67725,2,37625,429933,2018,61,0.0,0.0
三门峡市,1444.0,55713,5,51508,443784,2019,89,0.0,0.0
三门峡市,1451.0,62220,7,47965,450165,2020,141,1.0,0.0070921985815602835
三门峡市,1583.0,47391,9,54326,452269,2021,288,9.0,0.03125
三门峡市,1676.0,51749,8,109087,460543,2022,420,27.0,0.06428571428571428
三门峡市,1620.0,61894,8,135862,462569,2023,557,47.0,0.0843806104129264
上海市,25123.45,320254,0,2718505,7673169,2015,6249,0.0,0.0
上海市,28178.65,430424,0,3417109,8409686,2016,7546,0.0,0.0
上海市,32925.0,724669,5,3898971,8741040,2017,8966,2.0,0.00022306491188935982
上海市,32679.87,750532,10,4263655,9179869,2018,11202,14.0,0.001249776825566863
上海市,38156.0,636433,20,3895424,9956956,2019,13811,42.0,0.0030410542321338066
上海市,38701.0,466837,21,4061978,10005937,2020,22351,167.0,0.007471701489866226
上海市,43215.0,367956,26,4227023,10394696,2021,37339,699.0,0.018720372800557057
上海市,44653.0,362486,26,3862500,11225700,2022,51658,1545.0,0.029908242672964498
上海市,47219.0,586445,31,5280521,12061443,2023,72082,3757.0,0.05212119530534669
上饶市,1650.8064,51082,0,52745,924780,2015,132,0.0,0.0
上饶市,1817.7664,67938,0,47468,965141,2016,163,0.0,0.0
上饶市,2050.69,79228,1,59322,1036827,2017,225,0.0,0.0
上饶市,2217.4758,90713,2,92638,1142953,2018,287,1.0,0.003484320557491289
上饶市,2513.0,90180,2,137951,1247450,2019,371,1.0,0.0026954177897574125
上饶市,2624.0,88840,1,147002,1343647,2020,833,8.0,0.009603841536614645
上饶市,3043.0,72925,2,159009,1385317,2021,1275,63.0,0.04941176470588235
上饶市,3310.0,74709,3,192481,1458568,2022,1702,122.0,0.07168037602820211
上饶市,3402.0,87176,5,211785,1496841,2023,2297,130.0,0.056595559425337394
东莞市,6275.0737,119422,0,308338,1309337,2015,909,1.0,0.0011001100110011
东莞市,6827.6868,148012,0,279373,1429470,2016,1182,0.0,0.0
东莞市,7582.08794294079,184856,0,339579,1475796,2017,1571,4.0,0.002546148949713558
东莞市,8278.592,194640,2,393445,1554296,2018,2141,19.0,0.008874357776739842
东莞市,9482.0,193912,4,253628,1853932,2019,2781,54.0,0.019417475728155338
东莞市,9650.0,187490,10,341923,2028916,2020,3672,60.0,0.016339869281045753
东莞市,10855.0,149620,12,328289,2136897,2021,6125,219.0,0.035755102040816326
东莞市,11200.0,139324,14,328977,2151859,2022,8625,466.0,0.05402898550724638
东莞市,11438.0,196675,11,346120,2336399,2023,11311,695.0,0.06144461144019096
东营市,3450.64,52633,0,26737,494462,2015,253,0.0,0.0
东营市,3479.6,60622,0,29646,525599,2016,345,0.0,0.0
东营市,3814.35,75796,1,64341,500649,2017,439,0.0,0.0
东营市,4152.47,77924,4,47462,531598,2018,549,0.0,0.0
东营市,2916.0,73325,15,57537,576127,2019,695,2.0,0.0028776978417266188
东营市,2981.0,79497,19,58278,607324,2020,953,4.0,0.004197271773347324
东营市,3442.0,64690,19,57943,610382,2021,1499,57.0,0.03802535023348899
东营市,3621.0,64590,16,58095,852712,2022,2105,90.0,0.04275534441805225
东营市,3899.0,80921,16,31723,851869,2023,2665,162.0,0.06078799249530957
中卫市,316.8907,2946,0,10621,201427,2015,15,0.0,0.0
中卫市,339.1289,6550,0,12833,215354,2016,20,0.0,0.0
中卫市,374.1277,11107,0,14609,208044,2017,29,0.0,0.0
