城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,注销
七台河市,212.6515,11200,0,1415,87098,2015,0.0
七台河市,216.6414,11675,0,753,86570,2016,0.0
七台河市,228.8392,15441,0,3204,78284,2017,0.0
七台河市,250.3258,17660,1,1526,85621,2018,0.0
七台河市,231.0,18979,1,2815,86265,2019,1.0
七台河市,206.0,24112,1,21215,104741,2020,0.0
七台河市,231.0,10824,2,11030,100947,2021,4.0
七台河市,269.0,10914,2,7829,106297,2022,4.0
七台河市,263.0,22373,2,3851,100919,2023,6.0
三亚市,435.8202,19574,0,37164,189276,2015,0.0
三亚市,475.5567,27190,0,41668,199021,2016,0.0
三亚市,529.8048,47514,1,27590,200353,2017,0.0
三亚市,595.5057,61749,4,31157,211224,2018,0.0
三亚市,678.0,58083,4,142459,224140,2019,12.0
三亚市,695.0,62271,3,150320,237056,2020,34.0
三亚市,835.0,59116,2,158545,242306,2021,176.0
三亚市,847.0,52067,7,180290,246753,2022,336.0
三亚市,971.0,75696,10,205916,267415,2023,377.0
三明市,1713.0478,41608,0,44556,497170,2015,0.0
三明市,1860.8197,55091,0,44261,514457,2016,0.0
三明市,2102.64,73074,2,46013,569187,2017,0.0
三明市,2353.7162,68925,9,34507,605776,2018,18.0
三明市,2602.0,61486,16,32087,642519,2019,45.0
三明市,2702.0,69869,16,24511,695659,2020,101.0
三明市,2953.0,55892,13,21652,717729,2021,100.0
三明市,3110.0,60052,10,20715,784928,2022,91.0
三明市,3007.0,70822,14,19842,769901,2023,128.0
三门峡市,1251.0383,33681,0,18905,351137,2015,0.0
三门峡市,1325.8631,38179,0,20768,369686,2016,0.0
三门峡市,1447.42,46487,1,28723,424189,2017,0.0
三门峡市,1528.1244,67725,2,37625,429933,2018,0.0
三门峡市,1444.0,55713,5,51508,443784,2019,0.0
三门峡市,1451.0,62220,7,47965,450165,2020,1.0
三门峡市,1583.0,47391,9,54326,452269,2021,9.0
三门峡市,1676.0,51749,8,109087,460543,2022,27.0
三门峡市,1620.0,61894,8,135862,462569,2023,47.0
上海市,25123.45,320254,0,2718505,7673169,2015,0.0
上海市,28178.65,430424,0,3417109,8409686,2016,0.0
上海市,32925.0,724669,5,3898971,8741040,2017,2.0
上海市,32679.87,750532,10,4263655,9179869,2018,14.0
上海市,38156.0,636433,20,3895424,9956956,2019,42.0
上海市,38701.0,466837,21,4061978,10005937,2020,167.0
上海市,43215.0,367956,26,4227023,10394696,2021,699.0
上海市,44653.0,362486,26,3862500,11225700,2022,1545.0
上海市,47219.0,586445,31,5280521,12061443,2023,3757.0
上饶市,1650.8064,51082,0,52745,924780,2015,0.0
上饶市,1817.7664,67938,0,47468,965141,2016,0.0
上饶市,2050.69,79228,1,59322,1036827,2017,0.0
上饶市,2217.4758,90713,2,92638,1142953,2018,1.0
上饶市,2513.0,90180,2,137951,1247450,2019,1.0
上饶市,2624.0,88840,1,147002,1343647,2020,8.0
上饶市,3043.0,72925,2,159009,1385317,2021,63.0
上饶市,3310.0,74709,3,192481,1458568,2022,122.0
上饶市,3402.0,87176,5,211785,1496841,2023,130.0
东莞市,6275.0737,119422,0,308338,1309337,2015,1.0
东莞市,6827.6868,148012,0,279373,1429470,2016,0.0
东莞市,7582.08794294079,184856,0,339579,1475796,2017,4.0
东莞市,8278.592,194640,2,393445,1554296,2018,19.0
东莞市,9482.0,193912,4,253628,1853932,2019,54.0
东莞市,9650.0,187490,10,341923,2028916,2020,60.0
东莞市,10855.0,149620,12,328289,2136897,2021,219.0
东莞市,11200.0,139324,14,328977,2151859,2022,466.0
东莞市,11438.0,196675,11,346120,2336399,2023,695.0
东营市,3450.64,52633,0,26737,494462,2015,0.0
东营市,3479.6,60622,0,29646,525599,2016,0.0
东营市,3814.35,75796,1,64341,500649,2017,0.0
东营市,4152.47,77924,4,47462,531598,2018,0.0
东营市,2916.0,73325,15,57537,576127,2019,2.0
东营市,2981.0,79497,19,58278,607324,2020,4.0
东营市,3442.0,64690,19,57943,610382,2021,57.0
东营市,3621.0,64590,16,58095,852712,2022,90.0
东营市,3899.0,80921,16,31723,851869,2023,162.0
中卫市,316.8907,2946,0,10621,201427,2015,0.0
中卫市,339.1289,6550,0,12833,215354,2016,0.0
中卫市,374.1277,11107,0,14609,208044,2017,0.0
中卫市,402.9947,15635,1,17388,220198,2018,0.0
中卫市,438.0,16851,2,22955,243069,2019,0.0
中卫市,440.0,21830,2,18141,289361,2020,0.0
中卫市,505.0,13708,3,20876,286099,2021,4.0
中卫市,564.0,17276,2,18950,285219,2022,19.0
中卫市,591.0,30959,4,18963,287584,2023,22.0
中山市,3010.0326,88616,0,165573,644391,2015,0.0
中山市,3202.778,92695,0,278829,654918,2016,0.0
中山市,3430.31295984115,115081,0,440982,665350,2017,1.0
中山市,3632.7013,118123,2,410488,703493,2018,3.0
中山市,3101.0,113597,5,333279,739036,2019,12.0
中山市,3152.0,105276,14,239308,831736,2020,22.0
中山市,3566.0,102258,19,255318,1070536,2021,87.0
中山市,3631.0,100169,21,287915,1021737,2022,192.0
中山市,3851.0,127046,15,295076,962096,2023,291.0
临汾市,1161.109,55450,0,9008,515273,2015,0.0
临汾市,1205.1761,63068,0,9366,513263,2016,0.0
临汾市,1320.33,74402,0,17935,516267,2017,0.0
临汾市,1440.043,81036,0,11190,549494,2018,1.0
临汾市,1453.0,84786,0,8229,584573,2019,0.0
临汾市,1505.0,82803,3,8638,591770,2020,2.0
临汾市,1909.0,66285,5,7651,593964,2021,9.0
临汾市,2228.0,66888,5,4910,676928,2022,34.0
临汾市,2312.0,78334,3,6295,751146,2023,104.0
临沂市,3763.17,86055,0,48327,1282424,2015,0.0
临沂市,4026.75,97497,0,72525,1340715,2016,0.0
临沂市,4330.11,111107,1,45710,1415646,2017,1.0
临沂市,4717.8,132525,4,43679,1547356,2018,2.0
临沂市,4600.0,128636,15,58571,1703364,2019,10.0
临沂市,4805.0,120322,18,85455,1910645,2020,21.0
临沂市,5466.0,104440,18,92706,1988972,2021,132.0
临沂市,5779.0,106402,14,90445,2173854,2022,429.0
临沂市,6105.0,123025,14,99935,2299936,2023,767.0
临沧市,502.1223,7988,0,6560,356175,2015,0.0
临沧市,550.8172,12135,0,5438,378279,2016,0.0
临沧市,604.06,20221,0,6170,432609,2017,0.0
临沧市,630.0199,25734,1,6836,499120,2018,0.0
临沧市,759.0,24735,3,9290,538640,2019,0.0
临沧市,821.0,29429,3,15646,516790,2020,1.0
临沧市,908.0,20337,2,7391,428333,2021,11.0
临沧市,1000.0,23357,1,12821,486662,2022,12.0
