城市,教育支出_z,科技支出_z,注销_z,风险评分,聚类类别,动态预警,风险评分增长率,注销增长率,最新风险评分,残差,风险等级
普洱市,2.220446049250313e-16,2.9605947323337506e-16,0.0,-4.9343245538895844e-17,0,橙色预警,3.671002778674371,1.5714285714285716,1.986947370132464,-7.894919286223336e-15,高风险
运城市,-6.167905692361981e-16,3.4540271877227093e-16,0.0,4.9343245538895844e-17,2,橙色预警,32.54448978750147,2.9782608695652173,1.9317898069329835,-1.105288700071267e-14,高风险
辽源市,0.0,1.2335811384723961e-17,0.0,-4.9343245538895844e-17,1,橙色预警,6.594956469636326,3.0,2.06600469488301,-1.578983857244667e-15,高风险
昆明市,4.810966440042345e-16,1.4802973661668753e-16,0.0,-9.868649107779169e-17,0,橙色预警,2.18876956735856,1.0586124401913874,2.162109949063876,0.0,高风险
本溪市,1.2335811384723961e-15,-3.0839528461809905e-17,0.0,-9.868649107779169e-17,0,无预警,1.7916026715152067,1.0,2.1793267125173816,-7.894919286223335e-16,高风险
葫芦岛市,2.6521994477156517e-16,-4.9343245538895844e-17,0.0,2.4671622769447922e-17,0,红色预警,0.9915282387358191,0.5357142857142858,1.9709993332783817,-7.894919286223335e-16,高风险
兰州市,2.220446049250313e-16,2.4671622769447924e-16,0.0,-4.9343245538895844e-17,0,橙色预警,2.3683814781341157,1.2195121951219514,1.9598768941998548,6.315935428978668e-15,高风险
营口市,3.577385301569949e-16,-1.2335811384723961e-17,-9.868649107779169e-17,-9.868649107779169e-17,0,无预警,2.0505510526050195,0.8269230769230769,1.9327196373179725,-2.7632217501781674e-15,高风险
聊城市,-2.713878504639272e-16,4.9343245538895844e-17,0.0,0.0,1,无预警,1.1751213148294144,0.8282208588957056,1.920354038020059,-6.315935428978668e-15,高风险
柳州市,-7.524844944681616e-16,0.0,0.0,9.868649107779169e-17,2,红色预警,2.1638957177913736,0.904109589041096,2.0679827224620837,-7.894919286223336e-15,高风险
绥化市,7.401486830834377e-16,-7.401486830834377e-17,0.0,0.0,0,红色预警,1.9579243733073572,1.4444444444444446,2.02792902776903,-4.736951571734001e-15,高风险
大连市,1.1842378929335002e-15,7.401486830834377e-17,-4.9343245538895844e-17,-1.7270135938613546e-16,0,无预警,1.3875635673438915,0.7256317689530687,1.9513995875908703,-3.157967714489334e-15,高风险
秦皇岛市,-1.9737298215558337e-16,-3.700743415417188e-17,0.0,4.9343245538895844e-17,1,橙色预警,2.5348167466564093,1.4318181818181817,2.0231643844806726,-8.68441121484567e-15,高风险
大同市,-1.973729821555834e-15,-4.9343245538895844e-17,0.0,2.4671622769447924e-16,2,橙色预警,9.343174395770168,3.4705882352941178,2.1042515270842856,-7.105427357601002e-15,高风险
毕节市,1.2335811384723962e-16,3.700743415417188e-17,0.0,-2.4671622769447922e-17,1,红色预警,2.5358486921697097,1.3333333333333335,1.958262603404701,-1.973729821555834e-15,高风险
双鸭山市,0.0,-1.5419764230904953e-17,0.0,0.0,1,橙色预警,-28.090483263227203,4.0,2.0702807697834134,-3.157967714489334e-15,高风险
