城市,2024,2025,2026,2027,2028,2029,2030
七台河市,114,136,158,180,202,224,246
三亚市,16197,19792,23387,26982,30577,34172,37767
三明市,1773,2087,2401,2715,3029,3343,3657
三门峡市,694,831,968,1105,1242,1379,1516
上海市,92412,112773,133133,153494,173854,194215,214575
上饶市,2890,3483,4076,4669,5262,5855,6448
东莞市,13994,16679,19363,22048,24732,27417,30101
东营市,3225,3785,4345,4905,5465,6025,6585
中卫市,234,270,306,342,378,414,450
中山市,6034,7175,8315,9456,10597,11737,12878
临汾市,1338,1602,1866,2130,2394,2659,2923
临沂市,9719,11292,12865,14438,16012,17585,19158
临沧市,310,381,452,523,594,665,736
丹东市,552,634,716,798,880,962,1044
丽水市,1773,2062,2350,2639,2928,3217,3506
丽江市,370,456,542,628,714,800,886
乌兰察布市,488,601,714,827,940,1053,1166
乌海市,269,331,393,456,518,580,642
乌鲁木齐市,8336,10016,11696,13376,15056,16736,18416
乐山市,604,743,882,1021,1160,1299,1438
九江市,4987,5945,6902,7860,8817,9775,10733
云浮市,352,419,487,554,622,689,757
亳州市,1328,1566,1804,2041,2279,2517,2755
伊春市,113,140,167,194,221,248,275
佛山市,14387,17161,19935,22709,25483,28257,31031
佳木斯市,482,615,748,881,1014,1147,1280
保定市,5065,6676,8287,9898,11509,13121,14732
保山市,392,500,608,716,824,932,1040
信阳市,1625,1948,2271,2594,2917,3241,3564
儋州市,3216,3760,4305,4850,5394,5939,6484
克拉玛依市,339,395,451,507,563,619,675
六安市,2369,2891,3413,3936,4458,4980,5502
六盘水市,944,1191,1438,1685,1932,2179,2426
兰州市,7483,9044,10605,12166,13727,15288,16849
内江市,566,677,788,899,1010,1121,1232
包头市,1770,2115,2460,2805,3150,3495,3840
北京市,137458,171286,205114,238941,272769,306597,340424
北海市,1098,1249,1401,1552,1703,1854,2005
十堰市,2013,2436,2859,3282,3705,4128,4551
南京市,38793,45182,51571,57959,64348,70737,77125
南充市,1484,1739,1994,2249,2504,2759,3014
南宁市,17193,19875,22557,25239,27921,30603,33285
南平市,1205,1453,1701,1949,2197,2445,2693
南昌市,10539,12235,13931,15627,17323,19019,20715
南通市,6965,8382,9799,11216,12634,14051,15468
南阳市,3522,4359,5195,6032,6869,7706,8543
厦门市,30092,34307,38523,42739,46954,51170,55386
双鸭山市,138,181,224,267,310,353,396
台州市,3705,4316,4927,5538,6149,6759,7370
合肥市,31698,37383,43069,48755,54440,60126,65811
吉安市,2011,2372,2733,3094,3455,3816,4177
吉林市,1307,1548,1790,2032,2273,2515,2757
吕梁市,796,939,1082,1225,1368,1511,1654
吴忠市,350,401,452,503,554,605,656
周口市,2182,2709,3236,3762,4289,4816,5342
呼伦贝尔市,531,635,739,843,947,1051,1155
呼和浩特市,4966,6003,7040,8077,9113,10150,11187
咸宁市,1390,1708,2025,2343,2660,2977,3295
咸阳市,7218,9921,12625,15328,18032,20735,23439
哈尔滨市,7893,9388,10883,12378,13873,15368,16863
唐山市,2493,3133,3773,4412,5052,5692,6332
